project,module,#total_flakies,#single_mapped,#multi_mapped,#none_mapped
apache.incubator-dubbo,incubator-dubbo-dubbo-container-dubbo-container-spring,4,3,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-filter-dubbo-filter-cache,1,1,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-monitor-dubbo-monitor-default,5,4,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-plugin,1,1,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-plugin-dubbo-qos,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-registry-dubbo-registry-default,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-registry-dubbo-registry-multicast,4,1,0,3
apache.incubator-dubbo,incubator-dubbo-dubbo-registry-dubbo-registry-redis,4,3,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-registry-dubbo-registry-zookeeper,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-remoting-dubbo-remoting-http,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-remoting-dubbo-remoting-mina,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-remoting-dubbo-remoting-netty,9,5,0,4
apache.incubator-dubbo,incubator-dubbo-dubbo-remoting-dubbo-remoting-netty4,2,1,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-remoting-dubbo-remoting-p2p,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-remoting-dubbo-remoting-zookeeper,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-api,2,2,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-dubbo,23,4,0,19
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-hessian,5,4,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-http,6,6,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-redis,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-rest,10,4,0,6
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-rmi,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-thrift,4,3,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-webservice,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-serialization-dubbo-serialization-fastjson,3,2,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-serialization-dubbo-serialization-fst,5,4,1,0
apache.incubator-dubbo,incubator-dubbo-dubbo-serialization-dubbo-serialization-jdk,4,3,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-serialization-dubbo-serialization-kryo,4,3,0,1
apache.incubator-dubbo,incubator-dubbo-dubbo-test,4,1,0,3
apache.jackrabbit-oak,jackrabbit-oak-oak-core,2,2,0,0
apache.jackrabbit-oak,jackrabbit-oak-oak-jcr,2,2,0,0
apache.jackrabbit-oak,jackrabbit-oak-oak-segment-tar,1,1,0,0
apache.struts,Struts-plugins-portlet,4,4,0,0
crawlscript.webcollector,WebCollector-,1,1,0,0
doanduyhai.achilles,Achilles-achilles-embedded,1,0,0,1
doanduyhai.achilles,Achilles-integration-test-2_1,10,10,0,0
doanduyhai.achilles,Achilles-integration-test-2_2,7,5,0,2
doanduyhai.achilles,Achilles-integration-test-3_10,2,2,0,0
doanduyhai.achilles,Achilles-integration-test-3_7,6,6,0,0
dropwizard.dropwizard,dropwizard-dropwizard-e2e,3,3,0,0
dropwizard.dropwizard,dropwizard-dropwizard-logging,2,1,0,1
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-core,9,4,0,5
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-lifecycle,3,2,0,1
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-spring,3,2,0,1
activiti.activiti,Activiti-activiti-engine,3,3,0,0
activiti.activiti,Activiti-activiti-spring-boot-starter,20,11,3,6
alibaba.fastjson,fastjson-,47,0,3,44
apache.hadoop,hadoop-hadoop-hdfs-project-hadoop-hdfs-httpfs,32,8,9,15
apache.hadoop,hadoop-hadoop-hdfs-project-hadoop-hdfs-nfs,61,4,10,47
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-app,67,54,3,10
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-core,60,46,1,13
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-hs,59,51,1,7
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-jobclient,67,29,0,38
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-registry,37,2,0,35
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-router,16,8,0,8
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-sharedcachemanager,44,12,0,32
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timeline-pluginstorage,78,37,10,31
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timelineservice,60,26,10,24
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timelineservice-hbase-hadoop-yarn-server-timelineservice-hbase-client,12,11,0,1
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timelineservice-hbase-tests,57,29,11,17
apache.hbase,hbase-hbase-zookeeper,24,1,0,23
apache.incubator-dubbo,incubator-dubbo-dubbo-cluster,4,4,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-common,23,1,0,22
apache.incubator-dubbo,incubator-dubbo-dubbo-config-dubbo-config-api,53,7,0,46
apache.incubator-dubbo,incubator-dubbo-dubbo-config-dubbo-config-spring,69,7,7,55
apache.incubator-dubbo,incubator-dubbo-dubbo-filter-dubbo-filter-cache,1,1,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-monitor-dubbo-monitor-default,23,6,0,17
apache.incubator-dubbo,incubator-dubbo-dubbo-registry-dubbo-registry-default,3,3,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-remoting-dubbo-remoting-netty,27,0,0,27
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-api,2,2,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-dubbo,22,2,0,20
apache.incubator-dubbo,incubator-dubbo-dubbo-serialization-dubbo-serialization-fst,1,1,0,0
apache.jackrabbit-oak,jackrabbit-oak-oak-core,2,2,0,0
apache.jackrabbit-oak,jackrabbit-oak-oak-jcr,2,2,0,0
apache.jackrabbit-oak,jackrabbit-oak-oak-store-document,2,1,0,1
apache.struts,Struts-plugins-portlet,4,4,0,0
crawlscript.webcollector,WebCollector-,1,1,0,0
doanduyhai.achilles,Achilles-integration-test-2_1,10,10,0,0
doanduyhai.achilles,Achilles-integration-test-2_2,7,5,0,2
doanduyhai.achilles,Achilles-integration-test-3_10,2,2,0,0
doanduyhai.achilles,Achilles-integration-test-3_7,6,6,0,0
dropwizard.dropwizard,dropwizard-dropwizard-e2e,3,3,0,0
dropwizard.dropwizard,dropwizard-dropwizard-logging,2,2,0,0
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-core,9,2,2,5
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-lifecycle,3,2,0,1
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-spring,3,2,0,1
activiti.activiti,Activiti-activiti-engine,3,3,0,0
activiti.activiti,Activiti-activiti-spring-boot-starter,20,16,4,0
alibaba.fastjson,fastjson-,47,2,4,41
apache.hadoop,hadoop-hadoop-common-project-hadoop-auth,1,1,0,0
apache.hadoop,hadoop-hadoop-hdfs-project-hadoop-hdfs-httpfs,32,7,9,16
apache.hadoop,hadoop-hadoop-hdfs-project-hadoop-hdfs-nfs,29,26,2,1
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-app,7,1,0,6
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-core,8,4,0,4
apache.hadoop,hadoop-hadoop-mapreduce-project-hadoop-mapreduce-client-hadoop-mapreduce-client-hs,3,0,0,3
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-registry,5,1,0,4
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timelineservice,23,23,0,0
apache.hadoop,hadoop-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-timelineservice-hbase-tests,2,1,0,1
apache.hbase,hbase-hbase-procedure,3,1,0,2
apache.hbase,hbase-hbase-replication,7,7,0,0
apache.hbase,hbase-hbase-zookeeper,24,1,0,23
apache.incubator-dubbo,incubator-dubbo-dubbo-cluster,4,3,1,0
apache.incubator-dubbo,incubator-dubbo-dubbo-common,23,1,0,22
apache.incubator-dubbo,incubator-dubbo-dubbo-config-dubbo-config-api,47,7,0,40
apache.incubator-dubbo,incubator-dubbo-dubbo-config-dubbo-config-spring,10,1,7,2
apache.incubator-dubbo,incubator-dubbo-dubbo-filter-dubbo-filter-cache,1,1,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-api,2,2,0,0
apache.incubator-dubbo,incubator-dubbo-dubbo-rpc-dubbo-rpc-dubbo,22,3,0,19
apache.incubator-dubbo,incubator-dubbo-dubbo-serialization-dubbo-serialization-fst,1,1,0,0
apache.jackrabbit-oak,jackrabbit-oak-oak-core,2,2,0,0
apache.struts,Struts-plugins-portlet,4,4,0,0
doanduyhai.achilles,Achilles-integration-test-2_1,10,10,0,0
doanduyhai.achilles,Achilles-integration-test-2_2,7,5,0,2
doanduyhai.achilles,Achilles-integration-test-3_10,2,2,0,0
doanduyhai.achilles,Achilles-integration-test-3_7,6,6,0,0
dropwizard.dropwizard,dropwizard-dropwizard-e2e,3,3,0,0
dropwizard.dropwizard,dropwizard-dropwizard-logging,2,2,0,0
elasticjob.elastic-job-lite,elastic-job-lite-elastic-job-lite-core,9,3,1,5
jfree.jfreechart,jfreechart-,1,1,0,0
kevinsawicki.http-request,http-request-lib,28,25,0,3
knightliao.disconf,disconf-disconf-client,1,1,0,0
looly.hutool,hutool-hutool-cron,1,1,0,0
orbit.orbit,orbit-actors-runtime,3,0,0,3
oryxproject.oryx,oryx-framework-oryx-common,2,1,0,1
querydsl.querydsl,querydsl-querydsl-hibernate-search,7,3,0,4
spotify.helios,helios-helios-testing,1,1,0,0
spring-projects.spring-boot,spring-boot-spring-boot-project-spring-boot-actuator-autoconfigure,9,8,0,1
spring-projects.spring-boot,spring-boot-spring-boot-project-spring-boot-test,1,1,0,0
spring-projects.spring-boot,spring-boot-spring-boot-project-spring-boot-test-autoconfigure,3,0,2,1
square.retrofit,retrofit-retrofit,4,0,2,2
square.retrofit,retrofit-retrofit-adapters-rxjava,8,5,2,1
tootallnate.java-websocket,Java-WebSocket-,54,31,21,2
undertow-io.undertow,undertow-websockets-jsr,7,0,0,7
wildfly.wildfly,wildfly-naming,44,44,0,0
wildfly.wildfly,wildfly-security-subsystem,1,1,0,0
wildfly.wildfly,wildfly-testsuite-integration-web,6,4,2,0
wro4j.wro4j,wro4j-wro4j-core,16,7,0,9
wro4j.wro4j,wro4j-wro4j-extensions,11,2,0,9
extended,alien4cloud-alien4cloud-security,1,0,0,1
extended,java-cas-client-cas-client-core,1,1,0,0
extended,c2mon-c2mon-daq-c2mon-daq-core,3,1,0,2
extended,c2mon-c2mon-server-c2mon-server-common,2,2,0,0
extended,vertx-completable-future,1,1,0,0
extended,excelastic,1,1,0,0
extended,cukes-cukes-http,1,0,0,1
extended,rxjava2-extras,5,1,0,4
extended,tyrus-tests-e2e-non-deployable,3,0,1,2
extended,esper-examples-rfidassetzone,1,1,0,0
extended,esper-runtime,1,1,0,0
extended,yawp-yawp-testing-yawp-testing-appengine,1,0,1,0
extended,hsac-fitnesse-fixtures,11,1,0,10
extended,luwak-luwak,2,0,0,2
extended,fluent-logger-java,7,1,3,3
extended,redpipe-redpipe-engine,1,1,0,0
extended,redpipe-redpipe-templating-freemarker,4,1,3,0
extended,GoodData-CL-connector,1,1,0,0
extended,spring-data-ebean,1,1,0,0
extended,delight-nashorn-sandbox,3,2,0,1
extended,jhipster-registry,2,0,1,1
extended,jmeter-maven-plugin,1,1,0,0
extended,jnr-posix,6,2,0,4
extended,db-scheduler,11,3,0,8
extended,marine-api,12,12,0,0
extended,one-one-notify,1,0,1,0
extended,sawmill-sawmill-core,4,0,0,4
extended,spring-cloud-zuul-ratelimit-spring-cloud-zuul-ratelimit-tests-bucket4j-infinispan,1,1,0,0
extended,timely-server,8,1,3,4
extended,sos-20-modulith,1,1,0,0
extended,Chronicle-Wire,38,1,0,37
extended,openpojo,24,10,12,2
oracle.oci-java-sdk_output,oci-java-sdk-bmc-objectstorage-bmc-objectstorage-extensions,2,0,0,2
extended,Aletheia-aletheia-core,5,4,0,1
extended,junit-quickcheck-guava,1,1,0,0
extended,pippo-pippo-session-parent-pippo-session-jedis,1,0,1,0
extended,pippo-pippo-session-parent-pippo-session-mongodb,4,4,0,0
extended,recast4j-detourtilecache,1,1,0,0
extended,nexus-repository-helm,2,0,0,2
extended,noxy-noxy-discovery-zookeeper,3,2,1,0
extended,noxy-noxy-reverse,1,1,0,0
extended,spring-cloud-aws-spring-cloud-aws-context,1,1,0,0
extended,spring-data-envers,2,2,0,0
extended,spring-ws-spring-ws-core,20,15,0,5
extended,spring-ws-spring-ws-security,2,2,0,0
extended,aismessages,2,2,0,0
extended,unix4j-unix4j-core-unix4j-command,1,0,0,1
extended,vertx-mqtt,6,6,0,0
vert-x3.vertx-rabbitmq-client_output,vertx-rabbitmq-client,7,4,3,0
extended,vertexium-accumulo,2,1,0,1
extended,vertexium-core,1,1,0,0
extended,vertexium-inmemory,2,1,0,1
extended,admiral-adapter-registry,25,3,22,0
extended,admiral-compute,2,1,0,1
extended,admiral-request,50,24,0,26
extended,Wikidata-Toolkit-wdtk-dumpfiles,3,2,1,0
extended,Wikidata-Toolkit-wdtk-util,2,2,0,0
extended,carbon-apimgt-analyzer-modules-org.wso2.carbon.apimgt.throttling.siddhi.extension,2,1,0,1
extended,carbon-apimgt-components-apimgt-org.wso2.carbon.apimgt.core,2,1,0,1
extended,riptide-riptide-backup,1,1,0,0
extended,riptide-riptide-failsafe,6,1,0,5
extended,riptide-riptide-spring-boot-starter,14,1,0,13
